latency,startTimeNanos
36,6893960
35,6893961
35,6893961
35,6893961
6,6893996
6,6893996
6,6893996
6,6893996
5,6894002
5,6894002
5,6894002
5,6894002
4,6894007
4,6894007
4,6894007
4,6894007
5,6894011
5,6894011
5,6894011
5,6894011
5,6894016
5,6894016
5,6894016
5,6894016
5,6894021
5,6894021
5,6894021
5,6894021
4,6894026
4,6894026
4,6894026
4,6894026
4,6894030
4,6894030
4,6894030
4,6894030
5,6894034
5,6894034
5,6894034
5,6894034
5,6894039
5,6894039
5,6894039
5,6894039
5,6894044
7,6894044
7,6894044
8,6894044
4,6894049
4,6894051
4,6894051
4,6894052
3,6894053
3,6894055
4,6894055
4,6894056
3,6894057
5,6894058
4,6894059
4,6894060
